,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-0.180816,-0.482911,-0.624035,-0.854465,-1.937155,-0.155458,-0.358324,-1.185226,-0.75634,-1.23043,-1.105843,-0.363837,-0.684675,-1.603087,-1.094818,-0.023153,-0.265711,-2.351709,-1.270121,-0.949283
11,-0.383178,-0.598131,-0.654206,-0.934579,-1.934579,-0.398754,-0.376947,-1.34891,-0.813084,-0.987539,-0.88162,-0.426791,-0.785047,-1.012461,-1.028037,-0.214953,-0.46729,-1.785047,-0.716511,-1.099688
12,-0.026786,-0.375,-0.324405,-0.455357,-2.39881,0.33631,0.029762,-0.916667,-0.681548,-1.482143,-1.202381,-0.241071,-0.800595,-2.005952,-0.3125,0.217262,-0.205357,-2.520833,-1.723214,-1.095238
13,-0.596215,-0.656151,-0.214511,-0.589905,-1.851735,-0.223975,-0.274448,-1.700315,-0.596215,-1.031546,-1.006309,-0.362776,-0.709779,-1.192429,-1.678233,-0.315457,-0.432177,-2.290221,-0.908517,-1.107256
14,-1.016575,-1.134438,-0.907919,-1.370166,-2.042357,-0.631676,-0.946593,-1.928177,-1.187845,-1.281768,-1.410681,-0.790055,-0.898711,-1.922652,-1.872928,-0.71639,-0.631676,-3.171271,-1.46593,-1.086556
15,0.101093,-0.233607,-1.762295,-1.076503,-2.755464,-0.70765,-0.594262,-1.371585,-1.222678,-1.54918,-0.974044,-1.290984,-1.269126,-2.144809,-1.107923,-0.696721,-0.81694,-2.755464,-1.986339,-0.945355
16,-0.058667,-0.349333,-0.744,-0.861333,-2.378667,-0.205333,-0.52,-1.138667,-0.634667,-1.296,-1.106667,-0.488,-0.874667,-1.442667,-0.946667,-0.082667,-0.44,-2.517333,-1.253333,-1.045333
17,-0.256338,-0.326761,-0.35493,-0.6,-2.211268,0.628169,0.709859,-1.732394,-1.121127,-0.971831,-0.55493,0.397183,-0.661972,-2.112676,-1.926761,-0.053521,-0.185915,-3.078873,-1.985915,-0.935211
18,-0.104167,-1.125,-0.125,-0.473958,-2.302083,-0.010417,-0.572917,-1.125,-1.5625,-0.921875,-0.989583,-0.390625,-0.239583,-1.833333,-1.901042,0.208333,-0.036458,-2.682292,-1.53125,-0.755208
19,0.060563,-0.804225,-0.828169,-0.947887,-1.988732,-0.34507,-0.546479,-1.033803,-0.890141,-0.939437,-0.864789,-0.573239,-0.559155,-1.504225,-0.943662,-0.06338,-0.295775,-2.332394,-1.384507,-0.774648
20,0.321053,-0.073684,-0.9,-0.789474,-2.465789,-0.321053,-0.594737,-1.018421,-0.568421,-1.484211,-1.213158,-0.765789,-0.942105,-1.952632,-0.715789,-0.118421,-0.484211,-2.363158,-1.436842,-0.965789
21,-0.389068,-0.758842,-1.286174,-1.192926,-2.03537,-1.125402,-1.028939,-1.498392,-0.926045,-1.115756,-1.122186,-1.366559,-1.205788,-1.758842,-1.858521,-0.37299,-0.485531,-2.742765,-1.643087,-0.836013
22,0.251095,-0.319708,-0.40438,-0.421898,-2.137226,0.024818,-0.347445,-0.569343,-0.811679,-1.373723,-1.141606,-0.562044,-1.049635,-1.938686,-0.045255,0.162044,-0.00146,-2.567883,-1.693431,-0.948905
